source_type,platform,video_id,conversation_title,thread_path,source_file,item_timestamp,item_date,actor_username,actor_display_name,full_text,ai_input_text,lookup_key,comment,comment_full,content,is_message_request,thread_participants,raw_record_json,post_id,timestamp,username,extra_lines_count
comment,instagram,DY6GFyhylzl,,,comments\instagram-comments-DY6GFyhylzl.csv,2026-05-29,2026-05-29,elizabeth.loveridge,elizabeth.loveridge,It’s missing Moroni 7-10,It’s missing Moroni 7-10,comment||DY6GFyhylzl||||elizabeth.loveridge||elizabeth.loveridge||2026-05-29||It’s missing Moroni 7-10,It’s missing Moroni 7-10,It’s missing Moroni 7-10 | 2w2 likesReply,,,,"{""comment"": ""It’s missing Moroni 7-10"", ""comment_full"": ""It’s missing Moroni 7-10 | 2w2 likesReply"", ""extra_lines_count"": ""1"", ""post_id"": ""DY6GFyhylzl"", ""timestamp"": ""2026-05-29"", ""username"": ""elizabeth.loveridge""}",DY6GFyhylzl,2026-05-29,elizabeth.loveridge,1
comment,instagram,DY6GFyhylzl,,,comments\instagram-comments-DY6GFyhylzl.csv,2026-05-29,2026-05-29,galaxsus043,galaxsus043,When is android?,When is android?,comment||DY6GFyhylzl||||galaxsus043||galaxsus043||2026-05-29||When is android?,When is android?,When is android? | 2w1 likeReply,,,,"{""comment"": ""When is android?"", ""comment_full"": ""When is android? | 2w1 likeReply"", ""extra_lines_count"": ""1"", ""post_id"": ""DY6GFyhylzl"", ""timestamp"": ""2026-05-29"", ""username"": ""galaxsus043""}",DY6GFyhylzl,2026-05-29,galaxsus043,1
comment,instagram,DY6GFyhylzl,,,comments\instagram-comments-DY6GFyhylzl.csv,2026-05-29,2026-05-29,georgenelson7790,georgenelson7790,Awesome! Any way you can add notification or have a come follow me scriptures,Awesome! Any way you can add notification or have a come follow me scriptures,comment||DY6GFyhylzl||||georgenelson7790||georgenelson7790||2026-05-29||Awesome! Any way you can add notification or have a come follow me scriptures,Awesome! Any way you can add notification or have a come follow me scriptures,Awesome! Any way you can add notification or have a come follow me scriptures | 2wReply,,,,"{""comment"": ""Awesome! Any way you can add notification or have a come follow me scriptures"", ""comment_full"": ""Awesome! Any way you can add notification or have a come follow me scriptures | 2wReply"", ""extra_lines_count"": ""1"", ""post_id"": ""DY6GFyhylzl"", ""timestamp"": ""2026-05-29"", ""username"": ""georgenelson7790""}",DY6GFyhylzl,2026-05-29,georgenelson7790,1
comment,instagram,DY6GFyhylzl,,,comments\instagram-comments-DY6GFyhylzl.csv,2026-05-29,2026-05-29,haleysanders36,haleysanders36,Ahhh so exciting!!,Ahhh so exciting!!,comment||DY6GFyhylzl||||haleysanders36||haleysanders36||2026-05-29||Ahhh so exciting!!,Ahhh so exciting!!,Ahhh so exciting!! | 2wReply,,,,"{""comment"": ""Ahhh so exciting!!"", ""comment_full"": ""Ahhh so exciting!! | 2wReply"", ""extra_lines_count"": ""1"", ""post_id"": ""DY6GFyhylzl"", ""timestamp"": ""2026-05-29"", ""username"": ""haleysanders36""}",DY6GFyhylzl,2026-05-29,haleysanders36,1
comment,instagram,DY6GFyhylzl,,,comments\instagram-comments-DY6GFyhylzl.csv,2026-05-29,2026-05-29,its.spencerwatson,its.spencerwatson,Is D&C in the works by chance??,Is D&C in the works by chance??,comment||DY6GFyhylzl||||its.spencerwatson||its.spencerwatson||2026-05-29||Is D&C in the works by chance??,Is D&C in the works by chance??,Is D&C in the works by chance?? | 2w9 likesReply,,,,"{""comment"": ""Is D&C in the works by chance??"", ""comment_full"": ""Is D&C in the works by chance?? | 2w9 likesReply"", ""extra_lines_count"": ""1"", ""post_id"": ""DY6GFyhylzl"", ""timestamp"": ""2026-05-29"", ""username"": ""its.spencerwatson""}",DY6GFyhylzl,2026-05-29,its.spencerwatson,1
comment,instagram,DY6GFyhylzl,,,comments\instagram-comments-DY6GFyhylzl.csv,2026-05-29,2026-05-29,kolobfree,kolobfree,Bro in wich language you put BOM in the app ??? Is available in other languages?,Bro in wich language you put BOM in the app ??? Is available in other languages?,comment||DY6GFyhylzl||||kolobfree||kolobfree||2026-05-29||Bro in wich language you put BOM in the app ??? Is available in other languages?,Bro in wich language you put BOM in the app ??? Is available in other languages?,Bro in wich language you put BOM in the app ??? Is available in other languages? | 2wReply,,,,"{""comment"": ""Bro in wich language you put BOM in the app ??? Is available in other languages?"", ""comment_full"": ""Bro in wich language you put BOM in the app ??? Is available in other languages? | 2wReply"", ""extra_lines_count"": ""1"", ""post_id"": ""DY6GFyhylzl"", ""timestamp"": ""2026-05-29"", ""username"": ""kolobfree""}",DY6GFyhylzl,2026-05-29,kolobfree,1
comment,instagram,DY6GFyhylzl,,,comments\instagram-comments-DY6GFyhylzl.csv,2026-05-29,2026-05-29,lil_bel.rg,lil_bel.rg,Bro this is AMAZING!🤩,Bro this is AMAZING!🤩,comment||DY6GFyhylzl||||lil_bel.rg||lil_bel.rg||2026-05-29||Bro this is AMAZING!🤩,Bro this is AMAZING!🤩,Bro this is AMAZING!🤩 | 2w1 likeReply,,,,"{""comment"": ""Bro this is AMAZING!🤩"", ""comment_full"": ""Bro this is AMAZING!🤩 | 2w1 likeReply"", ""extra_lines_count"": ""1"", ""post_id"": ""DY6GFyhylzl"", ""timestamp"": ""2026-05-29"", ""username"": ""lil_bel.rg""}",DY6GFyhylzl,2026-05-29,lil_bel.rg,1
comment,instagram,DY6GFyhylzl,,,comments\instagram-comments-DY6GFyhylzl.csv,2026-05-29,2026-05-29,luciferslantern,luciferslantern,This is genuis. You need to find a way to do this for other books too,This is genuis. You need to find a way to do this for other books too,comment||DY6GFyhylzl||||luciferslantern||luciferslantern||2026-05-29||This is genuis. You need to find a way to do this for other books too,This is genuis. You need to find a way to do this for other books too,This is genuis. You need to find a way to do this for other books too | 2w2 likesReply,,,,"{""comment"": ""This is genuis. You need to find a way to do this for other books too"", ""comment_full"": ""This is genuis. You need to find a way to do this for other books too | 2w2 likesReply"", ""extra_lines_count"": ""1"", ""post_id"": ""DY6GFyhylzl"", ""timestamp"": ""2026-05-29"", ""username"": ""luciferslantern""}",DY6GFyhylzl,2026-05-29,luciferslantern,1
comment,instagram,DY6GFyhylzl,,,comments\instagram-comments-DY6GFyhylzl.csv,2026-05-29,2026-05-29,mrxgelo,mrxgelo,Do you have for android?,Do you have for android?,comment||DY6GFyhylzl||||mrxgelo||mrxgelo||2026-05-29||Do you have for android?,Do you have for android?,Do you have for android? | 2wReply,,,,"{""comment"": ""Do you have for android?"", ""comment_full"": ""Do you have for android? | 2wReply"", ""extra_lines_count"": ""1"", ""post_id"": ""DY6GFyhylzl"", ""timestamp"": ""2026-05-29"", ""username"": ""mrxgelo""}",DY6GFyhylzl,2026-05-29,mrxgelo,1
comment,instagram,DY6GFyhylzl,,,comments\instagram-comments-DY6GFyhylzl.csv,2026-05-29,2026-05-29,paigeinthewildak,paigeinthewildak,🔥🔥🔥🔥🔥 Keep new things coming please!!🙏,🔥🔥🔥🔥🔥 Keep new things coming please!!🙏,comment||DY6GFyhylzl||||paigeinthewildak||paigeinthewildak||2026-05-29||🔥🔥🔥🔥🔥 Keep new things coming please!!🙏,🔥🔥🔥🔥🔥 Keep new things coming please!!🙏,🔥🔥🔥🔥🔥 Keep new things coming please!!🙏 | 2w2 likesReply,,,,"{""comment"": ""🔥🔥🔥🔥🔥 Keep new things coming please!!🙏"", ""comment_full"": ""🔥🔥🔥🔥🔥 Keep new things coming please!!🙏 | 2w2 likesReply"", ""extra_lines_count"": ""1"", ""post_id"": ""DY6GFyhylzl"", ""timestamp"": ""2026-05-29"", ""username"": ""paigeinthewildak""}",DY6GFyhylzl,2026-05-29,paigeinthewildak,1
